attribute,category,type,question,option_1,option_2,option_3,result_majority,agreement
Softness,shelf,Physics,"Softness: What is the softness (fluffyness, squishiness) of a shelf?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,shelf,Physics,Sharpness: What is sharpness of a shelf?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Stiffness,shelf,Physics,Stiffness: What is the amount of continued weight that a shelf can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,0.75
Malleability,shelf,Physics,Malleability: Can a shelf be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,shirt,Physics,"Elasticity: If you were to deform a shirt (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,3.0,0.75
Softness,shirt,Physics,"Softness: What is the softness (fluffyness, squishiness) of a shirt?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,1.0
Sharpness,shirt,Physics,Sharpness: What is sharpness of a shirt?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,shirt,Physics,Malleability: Can a shirt be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,3.0,0.75
Brittleness,shoe,Physics,"Brittleness: How easy is it for a shoe to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Sharpness,shoe,Physics,Sharpness: What is sharpness of a shoe?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Stiffness,shoe,Physics,Stiffness: What is the amount of continued weight that a shoe can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,0.75
Brittleness,shopping_bag,Physics,"Brittleness: How easy is it for a shopping_bag to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Sharpness,shopping_bag,Physics,Sharpness: What is sharpness of a shopping_bag?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Brittleness,short_pants,Physics,"Brittleness: How easy is it for a short_pants to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,short_pants,Physics,"Softness: What is the softness (fluffyness, squishiness) of a short_pants?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,1.0
Sharpness,short_pants,Physics,Sharpness: What is sharpness of a short_pants?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Stiffness,short_pants,Physics,Stiffness: What is the amount of continued weight that a short_pants can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,0.75
Elasticity,shot_glass,Physics,"Elasticity: If you were to deform a shot_glass (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface smoothness,shot_glass,Physics,Surface smoothness: What is the surface smoothness of a shot_glass?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Brittleness,shot_glass,Physics,"Brittleness: How easy is it for a shot_glass to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,3.0,0.75
Softness,shot_glass,Physics,"Softness: What is the softness (fluffyness, squishiness) of a shot_glass?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,shot_glass,Physics,Sharpness: What is sharpness of a shot_glass?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Malleability,shot_glass,Physics,Malleability: Can a shot_glass be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Brittleness,shoulder_bag,Physics,"Brittleness: How easy is it for a shoulder_bag to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Elasticity,shovel,Physics,"Elasticity: If you were to deform a shovel (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Brittleness,shovel,Physics,"Brittleness: How easy is it for a shovel to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,shovel,Physics,"Softness: What is the softness (fluffyness, squishiness) of a shovel?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,shovel,Physics,Sharpness: What is sharpness of a shovel?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,3.0,1.0
Stiffness,shovel,Physics,Stiffness: What is the amount of continued weight that a shovel can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,1.0
